INSTNM,STABBR
Alabama A & M University,AL
University of Alabama at Birmingham,AL
Amridge University,AL
University of Alabama in Huntsville,AL
Alabama State University,AL
The University of Alabama,AL
Central Alabama Community College,AL
Athens State University,AL
Auburn University at Montgomery,AL
Auburn University,AL
Birmingham Southern College,AL
Chattahoochee Valley Community College,AL
Concordia College Alabama,AL
South University-Montgomery,AL
Enterprise State Community College,AL
James H Faulkner State Community College,AL
Faulkner University,AL
Gadsden State Community College,AL
New Beginning College of Cosmetology,AL
George C Wallace State Community College-Dothan,AL
George C Wallace State Community College-Hanceville,AL
George C Wallace State Community College-Selma,AL
Herzing University-Birmingham,AL
Huntingdon College,AL
Heritage Christian University,AL
J F Drake State Community and Technical College,AL
Jacksonville State University,AL
Jefferson Davis Community College,AL
Jefferson State Community College,AL
John C Calhoun State Community College,AL
Judson College,AL
Lawson State Community College-Birmingham Campus,AL
University of West Alabama,AL
Lurleen B Wallace Community College,AL
Marion Military Institute,AL
Miles College,AL
University of Mobile,AL
University of Montevallo,AL
Northwest-Shoals Community College,AL
University of North Alabama,AL
Northeast Alabama Community College,AL
Oakwood University,AL
Alabama Southern Community College,AL
Prince Institute-Southeast,IL
Reid State Technical College,AL
Bishop State Community College,AL
Samford University,AL
Selma University,AL
Shelton State Community College,AL
Snead State Community College,AL
University of South Alabama,AL
Spring Hill College,AL
Southeastern Bible College,AL
Stillman College,AL
Talladega College,AL
H Councill Trenholm State Community College,AL
Troy University,AL
Tuskegee University,AL
United States Sports Academy,AL
Bevill State Community College,AL
University of Alaska Anchorage,AK
Alaska Bible College,AK
University of Alaska Fairbanks,AK
University of Alaska Southeast,AK
Alaska Pacific University,AK
AVTEC-Alaska's Institute of Technology,AK
Charter College-Anchorage,AK
Alaska Career College,AK
Everest College-Phoenix,AZ
Collins College,AZ
Empire Beauty School-Paradise Valley,AZ
Empire Beauty School-Tucson,AZ
Thunderbird School of Global Management,AZ
American Indian College Inc,AZ
American Institute of Technology,AZ
Carrington College-Phoenix,AZ
Carrington College-Mesa,AZ
Carrington College-Tucson,AZ
CollegeAmerica-Flagstaff,AZ
Arizona Academy of Beauty-East,AZ
Arizona Automotive Institute,AZ
Brookline College-Phoenix,AZ
Arizona State University-Tempe,AZ
Arizona Western College,AZ
University of Arizona,AZ
Southwest University of Visual Arts-Tucson,AZ
Central Arizona College,AZ
Brown Mackie College-Tucson,AZ
Charles of Italy Beauty College,AZ
Cochise County Community College District,AZ
Empire Beauty School-Flagstaff,AZ
Empire Beauty School-Chandler,AZ
Cortiva Institute-Tucson,AZ
Avalon School of Cosmetology-Mesa,AZ
Eastern Arizona College,AZ
Embry-Riddle Aeronautical University-Prescott,AZ
Frank Lloyd Wright School of Architecture,AZ
Glendale Community College,AZ
Grand Canyon University,AZ
International Academy of Hair Design,AZ
GateWay Community College,AZ
Mesa Community College,AZ
ITT Technical Institute-Tucson,AZ
ITT Technical Institute-Tempe,AZ
Mohave Community College,AZ
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,AZ
Dine College,AZ
Northern Arizona University,AZ
Northland Pioneer College,AZ
Ottawa University-Phoenix,AZ
Phoenix College,AZ
Cortiva Institute-Scottsdale,AZ
Pima Community College,AZ
Pima Medical Institute-Tucson,AZ
Pima Medical Institute-Albuquerque,NM
Prescott College,AZ
Refrigeration School Inc,AZ
Rio Salado College,AZ
Roberto-Venn School of Luthiery,AZ
Hair Academy of Safford,AZ
Scottsdale Community College,AZ
South Mountain Community College,AZ
Arizona Christian University,AZ
Tucson College,AZ
Universal Technical Institute of Arizona Inc,AZ
Western International University,AZ
Empire Beauty School-NW Phoenix,AZ
Yavapai College,AZ
University of Arkansas at Little Rock,AR
University of Arkansas for Medical Sciences,AR
ABC Beauty College Inc,AR
Arkansas Baptist College,AR
Arkansas Beauty School-Little Rock,AR
Arkansas Beauty College,AR
Lyon College,AR
Arkansas College of Barbering and Hair Design,AR
Arthur's Beauty College Inc-Fort Smith,AR
University of Arkansas,AR
University of Arkansas at Pine Bluff,AR
Arkansas State University-Beebe,AR
Arkansas State University-Main Campus,AR
Arkansas Tech University,AR
University of Arkansas at Monticello,AR
Arthur's Beauty College Inc-Jacksonville,AR
Baptist Health College-Little Rock,AR
Black River Technical College,AR
University of Central Arkansas,AR
Central Baptist College,AR
Cossatot Community College of the University of Arkansas,AR
Crowley's Ridge College,AR
Crowley's Ridge Technical Institute,AR
East Arkansas Community College,AR
Eastern College of Health Vocations-Little Rock,AR
Imagine-Paul Mitchell Partner School,AR
National Park Community College,AR
University of Arkansas Community College-Batesville,AR
Harding University,AR
Henderson State University,AR
Hendrix College,AR
Hot Springs Beauty College,AR
